task,owner,sub_category,start_date,completion_comments,Animal.kg,Plant.kg,lat,lon,PATHWAY,how_many,entry_type,aqim_based,COMMODITY_DISPLAY_NAME,container,ITEM_TYPE,IS_ASF_RISK,IS_CSF_RISK,IS_FMD_RISK,product_pathway,product_subpathway
TK:1095:25,Puerto Rico,IBL 25-003,2024-10-05,"Animal # 0.0 pounds
Plant # 0.0 pounds",0,0,18.36626,-67.26914,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:3777:25,Florida,IBL 25-003,2024-10-26,Data provided by CBP,NA,NA,26.80788,-80.03378,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:1039:25,Puerto Rico,IBL 25-002,2024-10-02,"Animal# 2
Plant# 0.8",0.907184,0.3628736,18.01287,-67.17,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:3776:25,Florida,IBL 25-002,2024-10-15,Data provided by CBP,NA,NA,26.51449,-80.05295,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:1028:25,Puerto Rico,IBL 25-001,2024-10-02,"Animal #0.0 pounds
Plant #0.0 pounds",0,0,18.09412,-67.93755,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:3725:25,Florida,IBL 25-001,2024-10-08,Data provided by CBP,NA,NA,26.50322,-80.05137,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:8631:24,Puerto Rico,IBL 24-092,2024-09-30,"Animal# 0
Plant# 0",0,0,18.15822,-67.94834,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:8608:24,Puerto Rico,IBL 24-091,2024-09-28,"ANIMAL #0
PLANT #0",0,0,18.44169,-65.88425,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:8553:24,Puerto Rico,IBL 24-090,2024-09-26,"ANIMAL #1
PLANT #1",0.453592,0.453592,18.46215,-66.09456,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:8516:24,Puerto Rico,IBL 24-089,2024-09-25,"Animal# 7
Plant# 0",3.175144,0,18.08985,-67.1993,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:8489:24,Puerto Rico,IBL 24-088,2024-09-24,"Animal# 10.0 pounds
Plant# 3.5 pounds",4.53592,1.587572,17.97796,-66.61871,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:8469:24,Puerto Rico,IBL 24-087,2024-09-21,"Animal# 0
Plant# 0",0,0,18.51274,-67.03988,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:8468:24,Puerto Rico,IBL 24-086,2024-09-21,"Animal# 15.2
Plant# 1",6.8945984,0.453592,18.35976,-67.27043,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:8449:24,Puerto Rico,IBL 24-085,2024-09-20,"ANIMAL #0
PLANT #0",0,0,18.49217,-66.63136,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:8414:24,Puerto Rico,IBL 24-084,2024-09-18,"ANIMAL # 5
PLANT # 4",2.26796,1.814368,18.42985,-65.8336,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:8369:24,Puerto Rico,IBL 24-083,2024-09-17,"Animal# 9
Plant# 0.8",4.082328,0.3628736,18.51471,-67.10181,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:8360:24,Puerto Rico,IBl 24-082,2024-09-17,"Animal: 0.0 pounds
Plant: 0.0 pounds",0,0,18.47776,-67.16881,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:8354:24,Puerto Rico,IBL 24-081,2024-09-16,"Animal: 0.0 pounds
Plants: 0.0 pounds",0,0,18.15962,-67.9488,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:8197:24,Puerto Rico,IBL 24-080,2024-09-10,"Animal: 24.0 pounds
Plant: 0.25 pounds",10.886208,0.113398,18.37673,-67.23615,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:8088:24,Puerto Rico,IBL 24-079,2024-09-02,"Animal# 0
Plant# 0",0,0,18.2885,-65.28083,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:8044:24,Puerto Rico,IBL 24-078,2024-08-28,"Animal# 0
Plant# 0",0,0,18.13901,-65.51243,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:8031:24,Puerto Rico,IBL 24-077,2024-08-29,"Animal # 18.0 pounds
Plants # 8.0 pounds",8.164656,3.628736,17.96941,-66.61238,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:7986:24,Puerto Rico,IBL 24-076,2024-08-26,"Animal# 7
Plant# 0",3.175144,0,18.28738,-67.19408,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:7961:24,Puerto Rico,IBL 24-075,2024-08-22,"Animal# 11
Plant# 3.5",4.9895119999999995,1.587572,18.4839,-67.16662,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:7821:24,Puerto Rico,IBL 24-074,2024-08-11,"ANIMAL # 5
PLANT #0",2.26796,0,18.40694,-65.79757,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:7817:24,Puerto Rico,IBL 24-073,2024-08-11,"ANIMAL #0
PLANT #0",0,0,18.51347,-67.04283,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:7816:24,Puerto Rico,IBL 24-072,2024-08-10,"ANIMAL # 0
PLANT # 14",0,6.350288,18.23185,-65.62201,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:7629:24,Puerto Rico,IBL 24-071,2024-08-06,"Animal: 3.75 pounds
Plants: 0.0 pounds",1.7009699999999999,0,18.37264,-67.25038,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:7585:24,Puerto Rico,IBL 24-070,2024-07-31,"Animal# 2
Plant# 0.7",0.907184,0.3175144,18.01291,-67.16989,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:7545:24,Puerto Rico,IBL 24-069,2024-07-28,"Animal# 6
Plant# 4.2",2.721552,1.9050864,18.40083,-67.18666,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:7430:24,Puerto Rico,IBL 24-068,2024-07-17,"ANIMAL #20
PLANT #9",9.07184,4.082328,17.99441,-65.8803,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:7343:24,Puerto Rico,IBL 24-067,2024-07-14,"Animal# 3.5pounds
Plant#0.0 pounds",1.587572,0,18.38957,-67.20295,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:7274:24,Puerto Rico,IBL 24-066,2024-07-07,"Animal#0
Plant#0",0,0,18.13811,-65.51233,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:7160:24,Puerto Rico,IBL 24-065,2024-06-28,"Animal# 0.75 pounds
Plant# 2.0 pounds",0.340194,0.907184,18.50679,-67.13912,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:6949:24,Puerto Rico,IBL 24-064,2024-06-17,"Animal#0
Plant#0",0,0,18.51062,-67.03236,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
TK:6877:24,Puerto Rico,IBL 24-063,2024-06-14,"Animal# 0
Plant# 0",0,0,18.08906,-67.93813,IBL,,passenger,NA,Animal_IBL,baggage,Animal,HIGH,,,swine products/by-products,personal use or consumption
