"pathway","group","location","estimate","probability","ci_lower","ci_upper","p_value","significant"
"Airport - Aircraft - Person - Pre-Clearance","Airport - Aircraft - Person - Pre-Clearance;baggage;swine products/by-products;personal use or consumption","Toronto (7926)",0.782136983702262,0.0106664149518445,0.006613945602516,0.017159006838372,2.6930830382388e-05,TRUE
"Airport - Aircraft - Person - Pre-Clearance","Airport - Aircraft - Person - Pre-Clearance;baggage;swine products/by-products;personal use or consumption","Vancouver (7922)",1.58593709076777,0.0235193500106637,0.014909582493773,0.0369146484320699,9.66793950473537e-20,TRUE
"Airport - Aircraft - Person - Pre-Clearance","Airport - Aircraft - Person - Pre-Clearance;baggage;swine products/by-products;personal use or consumption","Average",NA,0.0166441028908179,0.0155490961216851,0.0177784222929281,NA,NA
"Cruise_ship","Cruise_ship;baggage;swine products/by-products;personal use or consumption","CA Long Beach CBP",-5.50242371184496,0.00406032482597477,0.00240616309480705,0.00684386940164032,8.2981631304376e-94,TRUE
"Cruise_ship","Cruise_ship;baggage;swine products/by-products;personal use or consumption","FL Cape Canaveral CBP",-0.994351278344159,0.00150602409638065,0.000572965000797181,0.00395253728741123,0.0164625480969553,TRUE
"Cruise_ship","Cruise_ship;baggage;swine products/by-products;personal use or consumption","FL Ft. Lauderdale CBP",-15.0636448128651,1.17022648975929e-09,0,1,0.999322120844919,FALSE
"Cruise_ship","Cruise_ship;baggage;swine products/by-products;personal use or consumption","FL Miami Sea CBP",-0.401625336225838,0.00272095132519647,0.00118488432967604,0.00623592093135337,0.223496944860317,FALSE
"Cruise_ship","Cruise_ship;baggage;swine products/by-products;personal use or consumption","FL Port Everglades CBP",0.298292157436847,0.00546380230968363,0.00246429330452762,0.0120701022025826,0.332058713413093,FALSE
"Cruise_ship","Cruise_ship;baggage;swine products/by-products;personal use or consumption","FL Tampa CBP",-15.0636448098468,1.17022649329144e-09,5.14561909604733e-305,1,0.96537265133947,FALSE
"Cruise_ship","Cruise_ship;baggage;swine products/by-products;personal use or consumption","MD Riverdale PPQ",-15.0636448108882,1.17022649207274e-09,0,1,0.999322120845196,FALSE
"Cruise_ship","Cruise_ship;baggage;swine products/by-products;personal use or consumption","NJ Newark Sea CBP",0.966756731620926,0.01060606060603,0.00373159830131461,0.0297664787337672,0.0375615077433067,TRUE
"Cruise_ship","Cruise_ship;baggage;swine products/by-products;personal use or consumption","NY Brooklyn CBP",-0.296944386773503,0.0030203185063077,0.00117098820981149,0.00776756538667476,0.461904912018158,FALSE
"Cruise_ship","Cruise_ship;baggage;swine products/by-products;personal use or consumption","PR San Juan Sea CBP",1.11051955036304,0.0122258180510268,0.00544485466298076,0.0272205855769034,0.000490664927020322,TRUE
"Cruise_ship","Cruise_ship;baggage;swine products/by-products;personal use or consumption","Average",NA,0.00389300847457627,0.00328389830508475,0.00455508474576271,NA,NA
"Express_courier","Express_courier;baggage;swine products/by-products;personal use or consumption","AK Anchorage Express CBP",-8.74917754739853,0.00015856655831244,3.96574821771765e-05,0.000633786875355627,3.69445721698736e-35,TRUE
"Express_courier","Express_courier;baggage;swine products/by-products;personal use or consumption","CA Oakland CBP",-10.8168909720375,3.18100541267459e-09,0,1,0.997876655515219,FALSE
"Express_courier","Express_courier;baggage;swine products/by-products;personal use or consumption","FL Miami Air Cargo CBP",1.57400292908829,0.000764766746138641,0.000101824821719186,0.00571917904487265,0.0352627131290479,TRUE
"Express_courier","Express_courier;baggage;swine products/by-products;personal use or consumption","KY Louisville CBP",1.79916130970089,0.000957701516359781,0.000115363390557658,0.00790185613799033,0.0275863902295924,TRUE
"Express_courier","Express_courier;baggage;swine products/by-products;personal use or consumption","OH Cincinnati DHL CBP",-0.156673633809604,0.00013557483731018,8.47939752007838e-06,0.00216354851039336,0.898216775104765,FALSE
"Express_courier","Express_courier;baggage;swine products/by-products;personal use or consumption","PR Aguadilla CBP",-10.8168909710979,3.18100541566325e-09,0,1,0.982002232219117,FALSE
"Express_courier","Express_courier;baggage;swine products/by-products;personal use or consumption","TN Memphis Fed-X CBP",3.20945201531901,0.00391223896376321,0.000545591599196765,0.0274820102545675,7.52914412334294e-06,TRUE
"Express_courier","Express_courier;baggage;swine products/by-products;personal use or consumption","Average",NA,0.00147258055015609,0.00119279024562644,0.00178182246568887,NA,NA
"Express_courier","Express_courier;baggage;other products;plasma","AK Anchorage Express CBP",-25.5660685363556,7.88492398226441e-12,0,1,0.989394126989964,FALSE
"Express_courier","Express_courier;baggage;other products;plasma","CA Oakland CBP",2.92992630767165e-09,7.88492400536666e-12,0,1,0.999999999999971,FALSE
"Express_courier","Express_courier;baggage;other products;plasma","FL Miami Air Cargo CBP",15.5569605019636,4.49862791851993e-05,0,1,0.993546204224867,FALSE
