"","pathway","INSPECTION_LOCATION_NAME","log_odds","pred_prob","lower_prob","upper_prob","container","product_pathway","product_subpathway","product_proportion","adjusted_prob","adjusted_lower","adjusted_upper"
"71","Airport - Aircraft - Person - CBP","HOUSTON GEO. BUSH INTERC (5309)",-5.40202434194834,0.00448722117448135,0.00354554412208689,0.00567757744300015,"baggage","swine products/by-products","smuggled commercial products",0.00193498452012384,8.68270351099333e-06,6.86057299165419e-06,1.09860244640096e-05
"72","Airport - Aircraft - Person - CBP","JOHN F KENNEDY AIRPORT (4701)",-4.98633192865605,0.00678433243228915,0.0061404749371455,0.00749519225714025,"baggage","swine products/by-products","smuggled commercial products",0.00193498452012384,1.31275782358536e-05,1.18817239495849e-05,1.45030809929185e-05
"73","Airport - Aircraft - Person - CBP","LOS ANGELES INT AIRPORT (2720)",-5.21925724889145,0.00538222184845678,0.00421484275292741,0.00687069741022654,"baggage","swine products/by-products","smuggled commercial products",0.00193498452012384,1.04145159606362e-05,8.15565548167069e-06,1.32946931312433e-05
"74","Airport - Aircraft - Person - CBP","MIAMI INTERNATIONAL AIRPORT (5206)",-6.14281911365923,0.00214424951267054,0.00159606369261104,0.00288017269999374,"baggage","swine products/by-products","smuggled commercial products",0.00193498452012384,4.14908961430058e-06,3.08835853833406e-06,5.57308958977116e-06
"75","Airport - Aircraft - Person - CBP","MINNEAPOLIS-ST. PAUL, MN (3501)",-6.2256469455374,0.00197413878195639,0.00127396106162899,0.00305796069736092,"baggage","swine products/by-products","smuggled commercial products",0.00193498452012384,3.81992798366174e-06,2.46509493349263e-06,5.91710661254049e-06
"76","Airport - Aircraft - Person - CBP","Nassau (7423)",-27.6307181562274,1.00030300559705e-12,0,1,"baggage","swine products/by-products","smuggled commercial products",0.00193498452012384,1.90996399183087e-06,1.90996399183087e-06,3.81992798366174e-06
"77","Airport - Aircraft - Person - CBP","NEW YORK/NEWARK AREA (4601)",-4.75363917109805,0.00854659350264647,0.00737677108042631,0.00990007835616624,"baggage","swine products/by-products","smuggled commercial products",0.00193498452012384,1.65375261274119e-05,1.42739378491221e-05,1.91564983671947e-05
"78","Airport - Aircraft - Person - CBP","ORLANDO SANFORD AIRPORT (1809)",-30.4733998886978,5.82868497528449e-14,0,1,"baggage","swine products/by-products","smuggled commercial products",0.00193498452012384,1.90996399183087e-06,1.90996399183087e-06,3.81992798366174e-06
"79","Airport - Aircraft - Person - CBP","ORLANDO, FL (1808)",-5.41560645307113,0.00442695523856372,0.00330688949966538,0.00592413986438799,"baggage","swine products/by-products","smuggled commercial products",0.00193498452012384,8.56608985790194e-06,6.39877999161259e-06,1.14631189326393e-05
"80","Airport - Aircraft - Person - CBP","PHILA. INTERNATIONAL AIR (1108)",-4.40415395931495,0.0120787657328463,0.0101014657681303,0.0144374650759577,"baggage","swine products/by-products","smuggled commercial products",0.00193498452012384,2.33722247152599e-05,1.9546179891893e-05,2.79362714318068e-05
