entry_type,container,ITEM_TYPE,ITEM,IS_ASF_RISK,IS_CSF_RISK,IS_FMD_RISK,product_pathway,product_subpathway
unknown,unknown,Animal,"Ruminant or Swine materials from ASF, CSF, FMD, or SVD regions - Other than meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,"Ruminant or Swine materials from ASF, CSF, FMD, or SVD affected regions - Fresh or frozen Meat",HIGH,HIGH,HIGH,swine products/by-products,commercial
eco,package,Animal,"Ruminant or Swine materials from ASF, CSF, FMD, or SVD affected regions - Fresh or frozen Meat",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
mail,package,Animal,"Ruminant or Swine materials from ASF, CSF, FMD, or SVD affected regions - Fresh or frozen Meat",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Ruminant or Swine materials from ASF, CSF, FMD, or SVD affected regions - Fresh or frozen Meat",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Ruminant or Swine materials from ASF, CSF, FMD, or SVD affected regions - Fresh or frozen Meat",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
commercial,container,Animal,"Ruminant or Swine materials from ASF, CSF, FMD, or SVD affected regions - Cured or cooked Meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Ruminant or Swine materials from ASF, CSF, FMD, or SVD affected regions - Cured or cooked Meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Ruminant or Swine materials from ASF, CSF, FMD, or SVD affected regions - Cured or cooked Meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Ruminant or Swine materials from ASF, CSF, FMD, or SVD affected regions - Cured or cooked Meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Ruminant or Swine materials from ASF, CSF, FMD, or SVD affected regions - Cured or cooked Meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,"Ruminant or Swine materials from ASF, CSF, FMD, and SVD free regions - Other than meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Ruminant or Swine materials from ASF, CSF, FMD, and SVD free regions - Other than meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Ruminant or Swine materials from ASF, CSF, FMD, and SVD free regions - Other than meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Ruminant or Swine materials from ASF, CSF, FMD, and SVD free regions - Other than meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Ruminant or Swine materials from ASF, CSF, FMD, and SVD free regions - Other than meat",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,"Ruminant or Swine materials from ASF, CSF, FMD, and SVD free regions - Meat",HIGH,HIGH,HIGH,swine products/by-products,commercial
eco,package,Animal,"Ruminant or Swine materials from ASF, CSF, FMD, and SVD free regions - Meat",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
mail,package,Animal,"Ruminant or Swine materials from ASF, CSF, FMD, and SVD free regions - Meat",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Ruminant or Swine materials from ASF, CSF, FMD, and SVD free regions - Meat",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Ruminant or Swine materials from ASF, CSF, FMD, and SVD free regions - Meat",HIGH,HIGH,HIGH,swine products/by-products,personal use or consumption
commercial,container,Animal,Ruminant and Swine hooves not for trophies or museums,LOW,LOW,LOW,swine products/by-products,commercial
eco,package,Animal,Ruminant and Swine hooves not for trophies or museums,LOW,LOW,LOW,swine products/by-products,personal use or consumption
mail,package,Animal,Ruminant and Swine hooves not for trophies or museums,LOW,LOW,LOW,swine products/by-products,personal use or consumption
passenger,baggage,Animal,Ruminant and Swine hooves not for trophies or museums,LOW,LOW,LOW,swine products/by-products,personal use or consumption
unknown,unknown,Animal,Ruminant and Swine hooves not for trophies or museums,LOW,LOW,LOW,swine products/by-products,personal use or consumption
commercial,container,Animal,Ruminant and porcine Hides /skins (from Mexico),MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,Ruminant and porcine Hides /skins (from Mexico),MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,Ruminant and porcine Hides /skins (from Mexico),MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,Ruminant and porcine Hides /skins (from Mexico),MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,Ruminant and porcine Hides /skins (from Mexico),MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,Ruminant and porcine Hides /skins (excluding those from Mexico),MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,Ruminant and porcine Hides /skins (excluding those from Mexico),MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,Ruminant and porcine Hides /skins (excluding those from Mexico),MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,Ruminant and porcine Hides /skins (excluding those from Mexico),MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,Ruminant and porcine Hides /skins (excluding those from Mexico),MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,Rawhide,LOW,LOW,LOW,swine products/by-products,commercial
eco,package,Animal,Rawhide,LOW,LOW,LOW,swine products/by-products,personal use or consumption
mail,package,Animal,Rawhide,LOW,LOW,LOW,swine products/by-products,personal use or consumption
passenger,baggage,Animal,Rawhide,LOW,LOW,LOW,swine products/by-products,personal use or consumption
unknown,unknown,Animal,Rawhide,LOW,LOW,LOW,swine products/by-products,personal use or consumption
commercial,container,Animal,"Pudding, Blood",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,commercial
eco,package,Animal,"Pudding, Blood",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
mail,package,Animal,"Pudding, Blood",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
passenger,baggage,Animal,"Pudding, Blood",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
unknown,unknown,Animal,"Pudding, Blood",MEDIUM,MEDIUM,MEDIUM,swine products/by-products,personal use or consumption
commercial,container,Animal,Processed Animal Proteins: Ruminant,MEDIUM,MEDIUM,MEDIUM,other products,animal-based feed
eco,package,Animal,Processed Animal Proteins: Ruminant,MEDIUM,MEDIUM,MEDIUM,other products,animal-based feed
mail,package,Animal,Processed Animal Proteins: Ruminant,MEDIUM,MEDIUM,MEDIUM,other products,animal-based feed
passenger,baggage,Animal,Processed Animal Proteins: Ruminant,MEDIUM,MEDIUM,MEDIUM,other products,animal-based feed
unknown,unknown,Animal,Processed Animal Proteins: Ruminant,MEDIUM,MEDIUM,MEDIUM,other products,animal-based feed
commercial,container,Animal,Processed Animal Proteins: Non-Ruminant Negligible Risk Countries,MEDIUM,MEDIUM,MEDIUM,other products,animal-based feed
eco,package,Animal,Processed Animal Proteins: Non-Ruminant Negligible Risk Countries,MEDIUM,MEDIUM,MEDIUM,other products,animal-based feed
mail,package,Animal,Processed Animal Proteins: Non-Ruminant Negligible Risk Countries,MEDIUM,MEDIUM,MEDIUM,other products,animal-based feed
passenger,baggage,Animal,Processed Animal Proteins: Non-Ruminant Negligible Risk Countries,MEDIUM,MEDIUM,MEDIUM,other products,animal-based feed
unknown,unknown,Animal,Processed Animal Proteins: Non-Ruminant Negligible Risk Countries,MEDIUM,MEDIUM,MEDIUM,other products,animal-based feed
commercial,container,Animal,Processed Animal Proteins: Non-Ruminant Controlled and Undetermined Risk Countries,MEDIUM,MEDIUM,MEDIUM,other products,animal-based feed
eco,package,Animal,Processed Animal Proteins: Non-Ruminant Controlled and Undetermined Risk Countries,MEDIUM,MEDIUM,MEDIUM,other products,animal-based feed
mail,package,Animal,Processed Animal Proteins: Non-Ruminant Controlled and Undetermined Risk Countries,MEDIUM,MEDIUM,MEDIUM,other products,animal-based feed
