ITEM_TYPE,ITEM,IS_ASF_RISK,IS_CSF_RISK,IS_FMD_RISK,product_pathway,product_subpathway
Plant,Abelmoschus esculentus - Abelmoschus esculentus,,,,,
Plant,Abelmoschus esculentus - OKRA,,,,,
Plant,Abies concolor - Abies concolor,,,,,
Plant,Abies sp. - Abies,,,,,
Plant,Abies sp. - Abies sp.,,,,,
Plant,Acacia,,,,,
Plant,Acacia sp. - Acacia sp.,,,,,
Plant,Acanthocalycium glaucum  (Cactaceae),,,,,
Plant,Acanthocereus sp. - PITAHAYA,,,,,
Plant,Acanthocereus tetragonus - Acanthocereus tetragonus,,,,,
Plant,Acca sellowiana - FEIJOA,,,,,
Plant,Acer palmatum - Acer palmatum,,,,,
Plant,Acer platanoides - Acer platanoides,,,,,
Plant,Acer sp. - Acer sp.,,,,,
Plant,Acer sp. (Sapindaceae),,,,,
Plant,Achillea,,,,,
Plant,Acis rosea - Acis rosea,,,,,
Plant,Aconitum,,,,,
Plant,Acriopsis liliifolia  (Orchidaceae),,,,,
Plant,Actinidia arguta - BABY KIWI,,,,,
Plant,Actinidia chinensis - KIWI,,,,,
Plant,Actinidia deliciosa - KIWI,,,,,
Plant,Adenium obesum - Adenium obesum,,,,,
Plant,Adenium sp. - Adenium sp.,,,,,
Plant,Adiantum caudatum - Adiantum caudatum,,,,,
Plant,Adiantum raddianum - Adiantum raddianum,,,,,
Plant,Adiantum sp. - Adiantum sp.,,,,,
Plant,Adonidia sp. - Adonidia sp.,,,,,
Plant,Aechmea fasciata - Aechmea fasciata,,,,,
Plant,Aegle marmelos - BAEL FRUIT,,,,,
Plant,Aeonium arborescens - Aeonium arborescens,,,,,
Plant,Aframomum melegueta - Aframomum melegueta,,,,,
Plant,Agaricus sp. - Agaricus sp.,,,,,
Plant,Agave,,,,,
Plant,Agave albescens - Agave albescens,,,,,
Plant,Agave americana - Agave americana,,,,,
Plant,Agave atrovirens - MAGUEY,,,,,
Plant,"Agave atrovirens - Maguey, Lvs",,,,,
Plant,Agave sp. - Agave sp.,,,,,
Plant,Agave sp. - Mague,,,,,
Plant,Aglaonema commutatum - Aglaonema commutatum,,,,,
Plant,Aglaonema sp. - Aglaonema sp.,,,,,
Plant,Ajuga reptans - Ajuga reptans,,,,,
Plant,Ajuga sp. - Ajuga sp.,,,,,
Plant,Akebia quinata - Akebia quinata,,,,,
Plant,Akee,,,,,
Plant,Aleurites moluccanus - Aleurites moluccanus,,,,,
Plant,Allium,,,,,
Plant,Allium ampeloprasum - LEEK,,,,,
Plant,Allium cepa - Allium cepa,,,,,
Plant,Allium cepa - ONION,,,,,
Plant,Allium cepa var. aggregatum - Shallot,,,,,
Plant,Allium fistulosum - GREEN ONION,,,,,
Plant,Allium fistulosum - Scallion,,,,,
Plant,Allium porrum - LEEK,,,,,
Plant,Allium sativum - Allium sativum,,,,,
Plant,Allium sativum - GARLIC,,,,,
Plant,"Allium sativum - Garlic Cloves, Peeled",,,,,
Plant,Allium schoenoprasum - Allium schoenoprasum,,,,,
Plant,Allium schoenoprasum - CHIVE,,,,,
Plant,Allium sp. - Allium,,,,,
Plant,Allium sp. - Allium sp.,,,,,
Plant,Allium tuberosum - Allium tuberosum,,,,,
Plant,Allium tuberosum - GARLIC CHIVE,,,,,
Plant,Alocasia amazonica  (Araceae),,,,,
Plant,Alocasia chaii  (Araceae),,,,,
Plant,Alocasia sp. - Alocasia,,,,,
Plant,Alocasia sp. - Alocasia sp.,,,,,
Plant,Alocasia sp. - DASHEEN,,,,,
Plant,"Alocasia sp. - Dasheen, Lvs",,,,,
Plant,Alocasia wentii  (Araceae),,,,,
Plant,Alocasia zebrina - Alocasia zebrina,,,,,
Plant,Aloe,,,,,
Plant,Aloe arborescens - Aloe arborescens,,,,,
Plant,Aloe aristata - Aloe aristata,,,,,
Plant,Aloe polyphylla - Aloe polyphylla,,,,,
Plant,Aloe sp. - Aloe,,,,,
Plant,Aloe sp. - Aloe sp.,,,,,
Plant,Aloe vera - Aloe vera,,,,,
Plant,Apple,,,,,
Plant,"Aloe, Leaves",,,,,
Plant,Alokon,,,,,
Plant,Alpinia,,,,,
Plant,Alpinia galanga - Alpinia galanga,,,,,
Plant,Alpinia mutica  (Zingiberaceae),,,,,
Plant,Alpinia purpurata - Alpinia purpurata,,,,,
Plant,Alpinia sp. - Alpinia,,,,,
Plant,Alstroemeria sp. - Alstroemeria,,,,,
Plant,Alternanthera sp. - Alternanthera sp.,,,,,
Plant,Alysicarpus vaginalis - leave,,,,,
Plant,Alyssum sp. - Alyssum sp.,,,,,
Plant,Alyxia,,,,,
Plant,Alyxia sp. - Alyxia,,,,,
Plant,Alyxia stellata - Maile,,,,,
Plant,Amaranthus,,,,,
Plant,Amaranthus dubius  (Amaranthaceae),,,,,
Plant,Amaranthus mangostanus  (Amaranthaceae),,,,,
Plant,Amaranthus sp. - AMARANTH,,,,,
Plant,Amaranthus sp. - Amaranthus,,,,,
Plant,Amaranthus sp. - Amaranthus sp.,,,,,
Plant,Amaryllidaceae,,,,,
Plant,Amaryllis,,,,,
Plant,Amaryllis sp. - Amaryllis,,,,,
Plant,Amaryllis sp. - Amaryllis sp.,,,,,
Plant,Ambarella,,,,,
Plant,Amelanchier alnifolia - JUNEBERRY,,,,,
Plant,Amelanchier sp. - Amelanchier sp.,,,,,
Plant,Ammi sp. - Ammi,,,,,
Plant,Amphicarpaea bracteata - HOG PEANUT,,,,,
Plant,Amygdalus sp. - Amygdalus sp.,,,,,
Plant,Anacardium occidentale - CASHEW,,,,,
Plant,Anacardium occidentale - Cashew Apple,,,,,
Plant,Ananas,,,,,
Plant,Ananas comosus - Ananas comosus,,,,,
Plant,Ananas comosus - PINEAPPLE,,,,,
Plant,Androsace sp. - Androsace,,,,,
Plant,Anemone,,,,,
Plant,Anethum,,,,,
Plant,Anethum graveolens - Anethum graveolens,,,,,
Plant,Anethum graveolens - DILL,,,,,
Plant,Anethum sp. - Anethum,,,,,
Plant,Anise,,,,,
Plant,Annatto,,,,,
Plant,Annona cherimola - CHERIMOYA,,,,,
Plant,"Annona cherimola - Cherimoya, Lvs",,,,,
Plant,Annona muricata - Annona muricata,,,,,
Plant,Annona muricata - GUANABANA,,,,,
Plant,"Annona muricata - GUANABANA, LVS",,,,,
Plant,Annona muricata - Soursop,,,,,
Plant,"Annona muricata - Soursop, Lvs",,,,,
Plant,Annona reticulata - CUSTARD APPLE,,,,,
Plant,"Annona reticulata - Custard Apple, Lvs",,,,,
Plant,Annona sp. - Annona,,,,,
Plant,Annona sp. - Annona sp.,,,,,
Plant,Annona squamosa - SWEETSOP,,,,,
Plant,Anthemis sp. - Anthemis sp.,,,,,
Plant,Anthemis sp. - CHAMOMILE,,,,,
Plant,Anthoxanthum sp. - Anthoxanthum sp.,,,,,
Plant,Anthriscus cerefolium - CHERVIL,,,,,
Plant,Anthurium,,,,,
Plant,Anthurium andraeanum - Anthurium andraeanum,,,,,
Plant,Anthurium sp. - Anthurium,,,,,
Plant,Anthurium sp. - Anthurium sp.,,,,,
Plant,Antirrhinum,,,,,
Plant,Antirrhinum majus - Antirrhinum majus,,,,,
Plant,Antirrhinum sp. - Antirrhinum,,,,,
Plant,Antrecha,,,,,
Plant,Aphelandra sp. - Aphelandra sp.,,,,,
Plant,Apiaceae,,,,,
Plant,Apium graveolens - Apium graveolens,,,,,
Plant,Apium graveolens var. dulce - CELERY,,,,,
Plant,Apium graveolens var. rapaceum - CELERIAC,,,,,
Plant,"Apple, Balsam",,,,,
Plant,"Apple, Custard",,,,,
Plant,"Apple, Malay",,,,,
Plant,"Apple, Mammee",,,,,
Plant,"Apple, Rose",,,,,
Plant,Apricot,,,,,
Plant,Aquilaria sp. - Aquilaria sp.,,,,,
Plant,Aquilegia hybrida - Aquilegia hybrida,,,,,
Plant,Araceae - Araceae,,,,,
Plant,Arachis hypogaea - Peanut,,,,,
Plant,Arachniodes sp. - Arachniodes,,,,,
Plant,Arachnis sp. - Arachnis,,,,,
Plant,Aralia,,,,,
Plant,Arborvitae,,,,,
Plant,Arctium lappa - BURDOCK,,,,,
Plant,Arctostaphylos manzanita - Arctostaphylos manzanita,,,,,
Plant,Arctostaphylos sp. - Arctostaphylos sp.,,,,,
Plant,Arctostaphylos uva-ursi - Arctostaphylos uva-ursi,,,,,
Plant,Areca catechu - BETEL NUT,,,,,
Plant,Areca sp. - Areca,,,,,
Plant,Areca sp. - Areca sp.,,,,,
Plant,Arecaceae - Arecaceae,,,,,
Plant,Arecaceae - Palm foliage,,,,,
Plant,Arenaria sp. - Arenaria sp.,,,,,
Plant,Argemone sp. - Argemone,,,,,
Plant,Argyranthemum sp. - Argyranthemum sp.,,,,,
Plant,Armeria sp. - Armeria sp.,,,,,
Plant,Armoracia rusticana - Armoracia rusticana,,,,,
Plant,Armoracia rusticana - HORSERADISH,,,,,
Plant,Arracacia xanthorrhiza - PERUVIAN CARROT,,,,,
Plant,Arrowhead,,,,,
Plant,Artemisia absinthium - Wormwood,,,,,
Plant,Artemisia dracunculus - TARRAGON,,,,,
Plant,Arrowroot,,,,,
Plant,Artocarpus altilis - Artocarpus altilis,,,,,
Plant,Artocarpus altilis - BREADFRUIT,,,,,
Plant,Artocarpus camansi - BREADNUT,,,,,
Plant,Artocarpus heterophyllus - Artocarpus heterophyllus,,,,,
Plant,Artocarpus heterophyllus - JACKFRUIT,,,,,
